Region/Country/Area,,Year,Series,Value,Footnotes
1,"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),"31,247,262",
1,"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),"47,730,924",
1,"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),"66,461,443",
1,"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),"75,133,208",
1,"Total, all countries or areas",2018,GDP in current prices (millions of US dollars),"86,357,998",
1,"Total, all countries or areas",2019,GDP in current prices (millions of US dollars),"87,718,575",
1,"Total, all countries or areas",2020,GDP in current prices (millions of US dollars),"85,328,323",
1,"Total, all countries or areas",1995,GDP per capita (US dollars),"5,441",
1,"Total, all countries or areas",2005,GDP per capita (US dollars),"7,298",
1,"Total, all countries or areas",2010,GDP per capita (US dollars),"9,556",
1,"Total, all countries or areas",2015,GDP per capita (US dollars),"10,183",
1,"Total, all countries or areas",2018,GDP per capita (US dollars),"11,319",
1,"Total, all countries or areas",2019,GDP per capita (US dollars),"11,375",
1,"Total, all countries or areas",2020,GDP per capita (US dollars),"10,949",
1,"Total, all countries or areas",1995,GDP in constant 2010 prices (millions of US dollars),"40,337,094",
1,"Total, all countries or areas",2005,GDP in constant 2010 prices (millions of US dollars),"56,429,253",
1,"Total, all countries or areas",2010,GDP in constant 2010 prices (millions of US dollars),"64,812,674",
1,"Total, all countries or areas",2015,GDP in constant 2010 prices (millions of US dollars),"75,133,208",
1,"Total, all countries or areas",2018,GDP in constant 2010 prices (millions of US dollars),"82,263,489",
1,"Total, all countries or areas",2019,GDP in constant 2010 prices (millions of US dollars),"84,310,608",
1,"Total, all countries or areas",2020,GDP in constant 2010 prices (millions of US dollars),"81,472,450",
1,"Total, all countries or areas",1995,GDP real rates of growth (percent),3.1,
1,"Total, all countries or areas",2005,GDP real rates of growth (percent),4,
1,"Total, all countries or areas",2010,GDP real rates of growth (percent),4.5,
1,"Total, all countries or areas",2015,GDP real rates of growth (percent),3.1,
1,"Total, all countries or areas",2018,GDP real rates of growth (percent),3.2,
1,"Total, all countries or areas",2019,GDP real rates of growth (percent),2.5,
1,"Total, all countries or areas",2020,GDP real rates of growth (percent),-3.4,
2,Africa,1995,GDP in current prices (millions of US dollars),"588,279",
