Region/Country/Area,Region/Country/Area,Year,Series,Value,Footnotes
4,Afghanistan,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",66.3,Data classified according to ISIC Rev. 4.
4,Afghanistan,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",37.3,Data classified according to ISIC Rev. 4.
4,Afghanistan,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",33.2,Data classified according to ISIC Rev. 4.
4,Afghanistan,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",27.3,Data classified according to ISIC Rev. 4.
4,Afghanistan,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",23.2,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
4,Afghanistan,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",27,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
4,Afghanistan,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",28.3,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
4,Afghanistan,1995,Industry (% of gross value added),10.6,Data classified according to ISIC Rev. 4.
4,Afghanistan,2005,Industry (% of gross value added),21.3,Data classified according to ISIC Rev. 4.
4,Afghanistan,2010,Industry (% of gross value added),13,Data classified according to ISIC Rev. 4.
4,Afghanistan,2015,Industry (% of gross value added),10.8,Data classified according to ISIC Rev. 4.
4,Afghanistan,2018,Industry (% of gross value added),14.1,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
4,Afghanistan,2019,Industry (% of gross value added),14.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
4,Afghanistan,2020,Industry (% of gross value added),13.1,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
4,Afghanistan,1995,Services (% of gross value added),23,Data classified according to ISIC Rev. 4.
4,Afghanistan,2005,Services (% of gross value added),41.4,Data classified according to ISIC Rev. 4.
4,Afghanistan,2010,Services (% of gross value added),53.8,Data classified according to ISIC Rev. 4.
4,Afghanistan,2015,Services (% of gross value added),61.9,Data classified according to ISIC Rev. 4.
4,Afghanistan,2018,Services (% of gross value added),62.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
4,Afghanistan,2019,Services (% of gross value added),58.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
4,Afghanistan,2020,Services (% of gross value added),58.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
8,Albania,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",54.3,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
8,Albania,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",21.5,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
8,Albania,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",20.7,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
8,Albania,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",22.5,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
8,Albania,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",21.1,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
8,Albania,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",21,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
8,Albania,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",21.9,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
8,Albania,1995,Industry (% of gross value added),26.5,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
8,Albania,2005,Industry (% of gross value added),28.7,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
8,Albania,2010,Industry (% of gross value added),28.7,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
8,Albania,2015,Industry (% of gross value added),24.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
8,Albania,2018,Industry (% of gross value added),24.3,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
