Region/Country/Area,,Year,Series,Value,Footnotes
1,"Total, all countries or areas",2005,"Intentional homicide rates per 100,000",6.3,Estimate.
1,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Male",10.1,Estimate.
1,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Female",2.4,Estimate.
1,"Total, all countries or areas",2010,"Intentional homicide rates per 100,000",6.1,Estimate.
1,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Male",9.7,Estimate.
1,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Female",2.4,Estimate.
1,"Total, all countries or areas",2015,"Intentional homicide rates per 100,000",5.9,Estimate.
1,"Total, all countries or areas",2015,"Percentage of male and female intentional homicide victims, Male",9.6,Estimate.
1,"Total, all countries or areas",2015,"Percentage of male and female intentional homicide victims, Female",2.1,Estimate.
1,"Total, all countries or areas",2020,"Intentional homicide rates per 100,000",5.6,Estimate.
1,"Total, all countries or areas",2020,"Percentage of male and female intentional homicide victims, Male",9.1,Estimate.
1,"Total, all countries or areas",2020,"Percentage of male and female intentional homicide victims, Female",2,Estimate.
2,Africa,2005,"Intentional homicide rates per 100,000",12.5,Estimate.
2,Africa,2010,"Intentional homicide rates per 100,000",12,Estimate.
2,Africa,2015,"Intentional homicide rates per 100,000",12.2,Estimate.
2,Africa,2020,"Intentional homicide rates per 100,000",12.1,Estimate.
15,Northern Africa,2005,"Intentional homicide rates per 100,000",5.2,Estimate.
15,Northern Africa,2005,"Percentage of male and female intentional homicide victims, Male",8.6,Estimate.
15,Northern Africa,2005,"Percentage of male and female intentional homicide victims, Female",1.7,Estimate.
15,Northern Africa,2010,"Intentional homicide rates per 100,000",5.5,Estimate.
15,Northern Africa,2010,"Percentage of male and female intentional homicide victims, Male",9.2,Estimate.
15,Northern Africa,2010,"Percentage of male and female intentional homicide victims, Female",1.8,Estimate.
15,Northern Africa,2015,"Intentional homicide rates per 100,000",6.3,Estimate.
15,Northern Africa,2015,"Percentage of male and female intentional homicide victims, Male",10.7,Estimate.
15,Northern Africa,2015,"Percentage of male and female intentional homicide victims, Female",1.9,Estimate.
15,Northern Africa,2020,"Intentional homicide rates per 100,000",6.6,Estimate.
15,Northern Africa,2020,"Percentage of male and female intentional homicide victims, Male",11.4,Estimate.
15,Northern Africa,2020,"Percentage of male and female intentional homicide victims, Female",1.9,Estimate.
202,Sub-Saharan Africa,2005,"Intentional homicide rates per 100,000",14.3,Estimate.
202,Sub-Saharan Africa,2010,"Intentional homicide rates per 100,000",13.6,Estimate.
202,Sub-Saharan Africa,2015,"Intentional homicide rates per 100,000",13.6,Estimate.
202,Sub-Saharan Africa,2020,"Intentional homicide rates per 100,000",13.3,Estimate.
19,Americas,2005,"Intentional homicide rates per 100,000",15,Estimate.
19,Americas,2005,"Percentage of male and female intentional homicide victims, Male",27,Estimate.
19,Americas,2005,"Percentage of male and female intentional homicide victims, Female",3.2,Estimate.
19,Americas,2010,"Intentional homicide rates per 100,000",16.7,Estimate.
19,Americas,2010,"Percentage of male and female intentional homicide victims, Male",30.3,Estimate.
19,Americas,2010,"Percentage of male and female intentional homicide victims, Female",3.4,Estimate.
19,Americas,2015,"Intentional homicide rates per 100,000",16,Estimate.
19,Americas,2015,"Percentage of male and female intentional homicide victims, Male",29.2,Estimate.
19,Americas,2015,"Percentage of male and female intentional homicide victims, Female",3.3,Estimate.
19,Americas,2020,"Intentional homicide rates per 100,000",15.7,Estimate.
19,Americas,2020,"Percentage of male and female intentional homicide victims, Male",28.3,Estimate.
19,Americas,2020,"Percentage of male and female intentional homicide victims, Female",3.5,Estimate.
21,Northern America,2005,"Intentional homicide rates per 100,000",5.4,Estimate.
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Male",8.6,Estimate.
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Female",2.3,Estimate.
21,Northern America,2010,"Intentional homicide rates per 100,000",4.5,Estimate.
21,Northern America,2010,"Percentage of male and female intentional homicide victims, Male",7,Estimate.
21,Northern America,2010,"Percentage of male and female intentional homicide victims, Female",2,Estimate.
21,Northern America,2015,"Intentional homicide rates per 100,000",4.6,Estimate.
21,Northern America,2015,"Percentage of male and female intentional homicide victims, Male",7.4,Estimate.
21,Northern America,2015,"Percentage of male and female intentional homicide victims, Female",2,Estimate.
21,Northern America,2020,"Intentional homicide rates per 100,000",6,Estimate.
21,Northern America,2020,"Percentage of male and female intentional homicide victims, Male",9.7,Estimate.
21,Northern America,2020,"Percentage of male and female intentional homicide victims, Female",2.4,Estimate.
419,Latin America & the Caribbean,2005,"Intentional homicide rates per 100,000",20.6,Estimate.
419,Latin America & the Caribbean,2005,"Percentage of male and female intentional homicide victims, Male",37.8,Estimate.
419,Latin America & the Caribbean,2005,"Percentage of male and female intentional homicide victims, Female",3.7,Estimate.
