Region/Country/Area,,Year,Series,Value,Footnotes
1,"Total, all countries or areas",2005,Land area (thousand hectares),"13,020,109",
1,"Total, all countries or areas",2005,Arable land (thousand hectares),"1,366,253",
1,"Total, all countries or areas",2005,Permanent crops (thousand hectares),"145,136",
1,"Total, all countries or areas",2005,Forest cover (thousand hectares),"4,132,183",
1,"Total, all countries or areas",2005,Arable land (% of total land area),10.5,
1,"Total, all countries or areas",2005,Permanent crops (% of total land area),1.1,
1,"Total, all countries or areas",2005,Forest cover (% of total land area),31.7,
1,"Total, all countries or areas",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),33.67,
1,"Total, all countries or areas",2010,Land area (thousand hectares),"13,018,366",
1,"Total, all countries or areas",2010,Arable land (thousand hectares),"1,361,101",
1,"Total, all countries or areas",2010,Permanent crops (thousand hectares),"157,820",
1,"Total, all countries or areas",2010,Forest cover (thousand hectares),"4,106,317",
1,"Total, all countries or areas",2010,Arable land (% of total land area),10.5,
1,"Total, all countries or areas",2010,Permanent crops (% of total land area),1.2,
1,"Total, all countries or areas",2010,Forest cover (% of total land area),31.5,
1,"Total, all countries or areas",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.48,
1,"Total, all countries or areas",2019,Land area (thousand hectares),"13,030,087",
1,"Total, all countries or areas",2019,Arable land (thousand hectares),"1,383,346",
1,"Total, all countries or areas",2019,Permanent crops (thousand hectares),"170,236",
1,"Total, all countries or areas",2019,Forest cover (thousand hectares),"4,063,843",
1,"Total, all countries or areas",2019,Arable land (% of total land area),10.6,
1,"Total, all countries or areas",2019,Permanent crops (% of total land area),1.3,
1,"Total, all countries or areas",2019,Forest cover (% of total land area),31.2,
1,"Total, all countries or areas",2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.83,
1,"Total, all countries or areas",2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.99,
2,Africa,2005,Land area (thousand hectares),"2,979,693",
2,Africa,2005,Arable land (thousand hectares),"215,727",
2,Africa,2005,Permanent crops (thousand hectares),"30,348",
2,Africa,2005,Forest cover (thousand hectares),"693,032",
2,Africa,2005,Arable land (% of total land area),7.2,
2,Africa,2005,Permanent crops (% of total land area),1,
2,Africa,2005,Forest cover (% of total land area),23.3,
2,Africa,2010,Land area (thousand hectares),"2,979,769",
2,Africa,2010,Arable land (thousand hectares),"224,944",
2,Africa,2010,Permanent crops (thousand hectares),"32,967",
2,Africa,2010,Forest cover (thousand hectares),"676,015",
2,Africa,2010,Arable land (% of total land area),7.5,
2,Africa,2010,Permanent crops (% of total land area),1.1,
2,Africa,2010,Forest cover (% of total land area),22.7,
2,Africa,2019,Land area (thousand hectares),"2,990,311",
2,Africa,2019,Arable land (thousand hectares),"238,469",
2,Africa,2019,Permanent crops (thousand hectares),"34,784",
2,Africa,2019,Forest cover (thousand hectares),"640,609",
2,Africa,2019,Arable land (% of total land area),8,
2,Africa,2019,Permanent crops (% of total land area),1.2,
2,Africa,2019,Forest cover (% of total land area),21.4,
15,Northern Africa,2005,Land area (thousand hectares),"838,039",
15,Northern Africa,2005,Arable land (thousand hectares),"41,430",
15,Northern Africa,2005,Permanent crops (thousand hectares),"5,310",
15,Northern Africa,2005,Forest cover (thousand hectares),"37,074",
15,Northern Africa,2005,Arable land (% of total land area),4.9,
15,Northern Africa,2005,Permanent crops (% of total land area),0.6,
15,Northern Africa,2005,Forest cover (% of total land area),4.4,
15,Northern Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),25.49,
15,Northern Africa,2010,Land area (thousand hectares),"838,039",
15,Northern Africa,2010,Arable land (thousand hectares),"42,525",
15,Northern Africa,2010,Permanent crops (thousand hectares),"5,806",
15,Northern Africa,2010,Forest cover (thousand hectares),"36,466",
15,Northern Africa,2010,Arable land (% of total land area),5.1,
15,Northern Africa,2010,Permanent crops (% of total land area),0.7,
15,Northern Africa,2010,Forest cover (% of total land area),4.4,
15,Northern Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),31.19,
15,Northern Africa,2019,Land area (thousand hectares),"785,362",
15,Northern Africa,2019,Arable land (thousand hectares),"41,469",
15,Northern Africa,2019,Permanent crops (thousand hectares),"6,534",
15,Northern Africa,2019,Forest cover (thousand hectares),"27,831",
15,Northern Africa,2019,Arable land (% of total land area),5.3,
15,Northern Africa,2019,Permanent crops (% of total land area),0.8,
15,Northern Africa,2019,Forest cover (% of total land area),3.5,
15,Northern Africa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.7,
15,Northern Africa,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),41.7,
202,Sub-Saharan Africa,2005,Land area (thousand hectares),"2,141,654",Calculated by the UN Statistics Division.
202,Sub-Saharan Africa,2005,Arable land (thousand hectares),"174,297",Calculated by the UN Statistics Division.
202,Sub-Saharan Africa,2005,Permanent crops (thousand hectares),"25,038",Calculated by the UN Statistics Division.
202,Sub-Saharan Africa,2005,Forest cover (thousand hectares),"655,958",Calculated by the UN Statistics Division.
202,Sub-Saharan Africa,2005,Arable land (% of total land area),8.1,
202,Sub-Saharan Africa,2005,Permanent crops (% of total land area),1.2,
202,Sub-Saharan Africa,2005,Forest cover (% of total land area),30.6,
202,Sub-Saharan Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.16,
202,Sub-Saharan Africa,2010,Land area (thousand hectares),"2,141,730",Calculated by the UN Statistics Division.
202,Sub-Saharan Africa,2010,Arable land (thousand hectares),"182,419",Calculated by the UN Statistics Division.
202,Sub-Saharan Africa,2010,Permanent crops (thousand hectares),"27,161",Calculated by the UN Statistics Division.
202,Sub-Saharan Africa,2010,Forest cover (thousand hectares),"639,549",Calculated by the UN Statistics Division.
202,Sub-Saharan Africa,2010,Arable land (% of total land area),8.5,
202,Sub-Saharan Africa,2010,Permanent crops (% of total land area),1.3,
202,Sub-Saharan Africa,2010,Forest cover (% of total land area),29.9,
202,Sub-Saharan Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.83,
202,Sub-Saharan Africa,2019,Land area (thousand hectares),"2,204,948",Calculated by the UN Statistics Division.
202,Sub-Saharan Africa,2019,Arable land (thousand hectares),"197,000",Calculated by the UN Statistics Division.
202,Sub-Saharan Africa,2019,Permanent crops (thousand hectares),"28,250",Calculated by the UN Statistics Division.
202,Sub-Saharan Africa,2019,Forest cover (thousand hectares),"612,778",Calculated by the UN Statistics Division.
202,Sub-Saharan Africa,2019,Arable land (% of total land area),8.9,
202,Sub-Saharan Africa,2019,Permanent crops (% of total land area),1.3,
202,Sub-Saharan Africa,2019,Forest cover (% of total land area),27.8,
202,Sub-Saharan Africa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),42.55,
202,Sub-Saharan Africa,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.55,
14,Eastern Africa,2005,Land area (thousand hectares),"620,499",
14,Eastern Africa,2005,Arable land (thousand hectares),"55,770",
14,Eastern Africa,2005,Permanent crops (thousand hectares),"6,913",
14,Eastern Africa,2005,Forest cover (thousand hectares),"206,408",
14,Eastern Africa,2005,Arable land (% of total land area),9,
14,Eastern Africa,2005,Permanent crops (% of total land area),1.1,
14,Eastern Africa,2005,Forest cover (% of total land area),33.3,
14,Eastern Africa,2010,Land area (thousand hectares),"620,575",
14,Eastern Africa,2010,Arable land (thousand hectares),"62,228",
14,Eastern Africa,2010,Permanent crops (thousand hectares),"7,604",
14,Eastern Africa,2010,Forest cover (thousand hectares),"201,429",
14,Eastern Africa,2010,Arable land (% of total land area),10,
14,Eastern Africa,2010,Permanent crops (% of total land area),1.2,
14,Eastern Africa,2010,Forest cover (% of total land area),32.5,
14,Eastern Africa,2019,Land area (thousand hectares),"683,793",
14,Eastern Africa,2019,Arable land (thousand hectares),"66,773",
14,Eastern Africa,2019,Permanent crops (thousand hectares),"8,520",
14,Eastern Africa,2019,Forest cover (thousand hectares),"198,582",
14,Eastern Africa,2019,Arable land (% of total land area),9.8,
14,Eastern Africa,2019,Permanent crops (% of total land area),1.2,
14,Eastern Africa,2019,Forest cover (% of total land area),29,
17,Middle Africa,2005,Land area (thousand hectares),"649,682",
17,Middle Africa,2005,Arable land (thousand hectares),"22,745",
17,Middle Africa,2005,Permanent crops (thousand hectares),"2,762",
17,Middle Africa,2005,Forest cover (thousand hectares),"313,853",
17,Middle Africa,2005,Arable land (% of total land area),3.5,
17,Middle Africa,2005,Permanent crops (% of total land area),0.4,
17,Middle Africa,2005,Forest cover (% of total land area),48.3,
17,Middle Africa,2010,Land area (thousand hectares),"649,682",
17,Middle Africa,2010,Arable land (thousand hectares),"24,061",
17,Middle Africa,2010,Permanent crops (thousand hectares),"3,250",
17,Middle Africa,2010,Forest cover (thousand hectares),"306,675",
17,Middle Africa,2010,Arable land (% of total land area),3.7,
17,Middle Africa,2010,Permanent crops (% of total land area),0.5,
17,Middle Africa,2010,Forest cover (% of total land area),47.2,
17,Middle Africa,2019,Land area (thousand hectares),"649,682",
17,Middle Africa,2019,Arable land (thousand hectares),"30,899",
17,Middle Africa,2019,Permanent crops (thousand hectares),"3,830",
17,Middle Africa,2019,Forest cover (thousand hectares),"289,583",
17,Middle Africa,2019,Arable land (% of total land area),4.8,
17,Middle Africa,2019,Permanent crops (% of total land area),0.6,
17,Middle Africa,2019,Forest cover (% of total land area),44.6,
18,Southern Africa,2005,Land area (thousand hectares),"265,067",
18,Southern Africa,2005,Arable land (thousand hectares),"14,730",
18,Southern Africa,2005,Permanent crops (thousand hectares),406,
18,Southern Africa,2005,Forest cover (thousand hectares),"42,843",
18,Southern Africa,2005,Arable land (% of total land area),5.6,
18,Southern Africa,2005,Permanent crops (% of total land area),0.2,
18,Southern Africa,2005,Forest cover (% of total land area),16.2,
18,Southern Africa,2010,Land area (thousand hectares),"265,067",
18,Southern Africa,2010,Arable land (thousand hectares),"14,089",
18,Southern Africa,2010,Permanent crops (thousand hectares),460,
18,Southern Africa,2010,Forest cover (thousand hectares),"41,721",
18,Southern Africa,2010,Arable land (% of total land area),5.3,
18,Southern Africa,2010,Permanent crops (% of total land area),0.2,
18,Southern Africa,2010,Forest cover (% of total land area),15.7,
18,Southern Africa,2019,Land area (thousand hectares),"265,067",
18,Southern Africa,2019,Arable land (thousand hectares),"13,373",
18,Southern Africa,2019,Permanent crops (thousand hectares),444,
18,Southern Africa,2019,Forest cover (thousand hectares),"39,700",
18,Southern Africa,2019,Arable land (% of total land area),5,
18,Southern Africa,2019,Permanent crops (% of total land area),0.2,
18,Southern Africa,2019,Forest cover (% of total land area),15,
11,Western Africa,2005,Land area (thousand hectares),"606,406",
11,Western Africa,2005,Arable land (thousand hectares),"81,052",
11,Western Africa,2005,Permanent crops (thousand hectares),"14,957",
11,Western Africa,2005,Forest cover (thousand hectares),"92,854",
11,Western Africa,2005,Arable land (% of total land area),13.4,
11,Western Africa,2005,Permanent crops (% of total land area),2.5,
11,Western Africa,2005,Forest cover (% of total land area),15.3,
11,Western Africa,2010,Land area (thousand hectares),"606,406",
11,Western Africa,2010,Arable land (thousand hectares),"82,040",
11,Western Africa,2010,Permanent crops (thousand hectares),"15,847",
11,Western Africa,2010,Forest cover (thousand hectares),"89,725",
11,Western Africa,2010,Arable land (% of total land area),13.5,
11,Western Africa,2010,Permanent crops (% of total land area),2.6,
11,Western Africa,2010,Forest cover (% of total land area),14.8,
11,Western Africa,2019,Land area (thousand hectares),"606,406",
11,Western Africa,2019,Arable land (thousand hectares),"85,955",
11,Western Africa,2019,Permanent crops (thousand hectares),"15,456",
11,Western Africa,2019,Forest cover (thousand hectares),"84,912",
11,Western Africa,2019,Arable land (% of total land area),14.2,
11,Western Africa,2019,Permanent crops (% of total land area),2.5,
11,Western Africa,2019,Forest cover (% of total land area),14,
19,Americas,2005,Land area (thousand hectares),"3,867,815",
19,Americas,2005,Arable land (thousand hectares),"343,519",
19,Americas,2005,Permanent crops (thousand hectares),"26,731",
19,Americas,2005,Forest cover (thousand hectares),"1,649,669",
19,Americas,2005,Arable land (% of total land area),8.9,
19,Americas,2005,Permanent crops (% of total land area),0.7,
19,Americas,2005,Forest cover (% of total land area),42.7,
19,Americas,2010,Land area (thousand hectares),"3,866,368",
19,Americas,2010,Arable land (thousand hectares),"340,284",
19,Americas,2010,Permanent crops (thousand hectares),"26,400",
19,Americas,2010,Forest cover (thousand hectares),"1,624,344",
19,Americas,2010,Arable land (% of total land area),8.8,
19,Americas,2010,Permanent crops (% of total land area),0.7,
19,Americas,2010,Forest cover (% of total land area),42,
19,Americas,2019,Land area (thousand hectares),"3,866,092",
19,Americas,2019,Arable land (thousand hectares),"341,233",
19,Americas,2019,Permanent crops (thousand hectares),"26,965",
19,Americas,2019,Forest cover (thousand hectares),"1,599,319",
19,Americas,2019,Arable land (% of total land area),8.8,
19,Americas,2019,Permanent crops (% of total land area),0.7,
19,Americas,2019,Forest cover (% of total land area),41.4,
21,Northern America,2005,Land area (thousand hectares),"1,853,824",
21,Northern America,2005,Arable land (thousand hectares),"205,890",
21,Northern America,2005,Permanent crops (thousand hectares),"2,865",
21,Northern America,2005,Forest cover (thousand hectares),"653,693",
21,Northern America,2005,Arable land (% of total land area),11.1,
21,Northern America,2005,Permanent crops (% of total land area),0.2,
21,Northern America,2005,Forest cover (% of total land area),35.3,
21,Northern America,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),30.47,
21,Northern America,2010,Land area (thousand hectares),"1,852,374",
21,Northern America,2010,Arable land (thousand hectares),"195,407",
21,Northern America,2010,Permanent crops (thousand hectares),"2,877",
21,Northern America,2010,Forest cover (thousand hectares),"656,045",
21,Northern America,2010,Arable land (% of total land area),10.5,
21,Northern America,2010,Permanent crops (% of total land area),0.2,
21,Northern America,2010,Forest cover (% of total land area),35.4,
21,Northern America,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),32.8,
21,Northern America,2019,Land area (thousand hectares),"1,852,374",
21,Northern America,2019,Arable land (thousand hectares),"196,387",
21,Northern America,2019,Permanent crops (thousand hectares),"2,867",
21,Northern America,2019,Forest cover (thousand hectares),"656,763",
21,Northern America,2019,Arable land (% of total land area),10.6,
21,Northern America,2019,Permanent crops (% of total land area),0.2,
21,Northern America,2019,Forest cover (% of total land area),35.5,
21,Northern America,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),34.91,
21,Northern America,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),34.93,
419,Latin America & the Caribbean,2005,Land area (thousand hectares),"2,013,990",Calculated by the UN Statistics Division.
419,Latin America & the Caribbean,2005,Arable land (thousand hectares),"137,629",Calculated by the UN Statistics Division.
419,Latin America & the Caribbean,2005,Permanent crops (thousand hectares),"23,866",Calculated by the UN Statistics Division.
419,Latin America & the Caribbean,2005,Forest cover (thousand hectares),"995,976",Calculated by the UN Statistics Division.
419,Latin America & the Caribbean,2005,Arable land (% of total land area),6.8,
419,Latin America & the Caribbean,2005,Permanent crops (% of total land area),1.2,
419,Latin America & the Caribbean,2005,Forest cover (% of total land area),49.5,
419,Latin America & the Caribbean,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),31.18,
419,Latin America & the Caribbean,2010,Land area (thousand hectares),"2,013,993",Calculated by the UN Statistics Division.
419,Latin America & the Caribbean,2010,Arable land (thousand hectares),"144,877",Calculated by the UN Statistics Division.
419,Latin America & the Caribbean,2010,Permanent crops (thousand hectares),"23,523",Calculated by the UN Statistics Division.
419,Latin America & the Caribbean,2010,Forest cover (thousand hectares),"968,299",Calculated by the UN Statistics Division.
419,Latin America & the Caribbean,2010,Arable land (% of total land area),7.2,
419,Latin America & the Caribbean,2010,Permanent crops (% of total land area),1.2,
419,Latin America & the Caribbean,2010,Forest cover (% of total land area),48.1,
419,Latin America & the Caribbean,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),35.79,
419,Latin America & the Caribbean,2019,Land area (thousand hectares),"2,013,717",Calculated by the UN Statistics Division.
419,Latin America & the Caribbean,2019,Arable land (thousand hectares),"144,846",Calculated by the UN Statistics Division.
419,Latin America & the Caribbean,2019,Permanent crops (thousand hectares),"24,098",Calculated by the UN Statistics Division.
419,Latin America & the Caribbean,2019,Forest cover (thousand hectares),"942,557",Calculated by the UN Statistics Division.
419,Latin America & the Caribbean,2019,Arable land (% of total land area),7.2,
419,Latin America & the Caribbean,2019,Permanent crops (% of total land area),1.2,
419,Latin America & the Caribbean,2019,Forest cover (% of total land area),46.8,
419,Latin America & the Caribbean,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),39.82,
419,Latin America & the Caribbean,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),39.92,
29,Caribbean,2005,Land area (thousand hectares),"22,598",
29,Caribbean,2005,Arable land (thousand hectares),"5,680",
29,Caribbean,2005,Permanent crops (thousand hectares),"1,324",
29,Caribbean,2005,Forest cover (thousand hectares),"7,152",
29,Caribbean,2005,Arable land (% of total land area),25.1,
29,Caribbean,2005,Permanent crops (% of total land area),5.9,
29,Caribbean,2005,Forest cover (% of total land area),31.6,
29,Caribbean,2010,Land area (thousand hectares),"22,598",
29,Caribbean,2010,Arable land (thousand hectares),"5,568",
29,Caribbean,2010,Permanent crops (thousand hectares),"1,298",
29,Caribbean,2010,Forest cover (thousand hectares),"7,496",
29,Caribbean,2010,Arable land (% of total land area),24.6,
29,Caribbean,2010,Permanent crops (% of total land area),5.7,
29,Caribbean,2010,Forest cover (% of total land area),33.2,
29,Caribbean,2019,Land area (thousand hectares),"22,334",
29,Caribbean,2019,Arable land (thousand hectares),"5,230",
29,Caribbean,2019,Permanent crops (thousand hectares),"1,466",
29,Caribbean,2019,Forest cover (thousand hectares),"7,879",
29,Caribbean,2019,Arable land (% of total land area),23.4,
29,Caribbean,2019,Permanent crops (% of total land area),6.6,
29,Caribbean,2019,Forest cover (% of total land area),35.3,
13,Central America,2005,Land area (thousand hectares),"245,227",
13,Central America,2005,Arable land (thousand hectares),"29,182",
13,Central America,2005,Permanent crops (thousand hectares),"4,837",
13,Central America,2005,Forest cover (thousand hectares),"92,425",
13,Central America,2005,Arable land (% of total land area),11.9,
13,Central America,2005,Permanent crops (% of total land area),2,
13,Central America,2005,Forest cover (% of total land area),37.7,
13,Central America,2010,Land area (thousand hectares),"245,227",
13,Central America,2010,Arable land (thousand hectares),"28,204",
13,Central America,2010,Permanent crops (thousand hectares),"5,148",
13,Central America,2010,Forest cover (thousand hectares),"90,649",
13,Central America,2010,Arable land (% of total land area),11.5,
13,Central America,2010,Permanent crops (% of total land area),2.1,
13,Central America,2010,Forest cover (% of total land area),37,
13,Central America,2019,Land area (thousand hectares),"245,211",
13,Central America,2019,Arable land (thousand hectares),"24,417",
13,Central America,2019,Permanent crops (thousand hectares),"5,472",
13,Central America,2019,Forest cover (thousand hectares),"88,367",
13,Central America,2019,Arable land (% of total land area),10,
13,Central America,2019,Permanent crops (% of total land area),2.2,
13,Central America,2019,Forest cover (% of total land area),36,
5,South America,2005,Land area (thousand hectares),"1,746,165",
5,South America,2005,Arable land (thousand hectares),"102,768",
5,South America,2005,Permanent crops (thousand hectares),"17,705",
5,South America,2005,Forest cover (thousand hectares),"896,400",
5,South America,2005,Arable land (% of total land area),5.9,
5,South America,2005,Permanent crops (% of total land area),1,
5,South America,2005,Forest cover (% of total land area),51.3,
5,South America,2010,Land area (thousand hectares),"1,746,168",
5,South America,2010,Arable land (thousand hectares),"111,105",
5,South America,2010,Permanent crops (thousand hectares),"17,077",
5,South America,2010,Forest cover (thousand hectares),"870,154",
5,South America,2010,Arable land (% of total land area),6.4,
5,South America,2010,Permanent crops (% of total land area),1,
5,South America,2010,Forest cover (% of total land area),49.8,
5,South America,2019,Land area (thousand hectares),"1,746,172",
5,South America,2019,Arable land (thousand hectares),"115,199",
5,South America,2019,Permanent crops (thousand hectares),"17,160",
5,South America,2019,Forest cover (thousand hectares),"846,311",
5,South America,2019,Arable land (% of total land area),6.6,
5,South America,2019,Permanent crops (% of total land area),1,
5,South America,2019,Forest cover (% of total land area),48.5,
142,Asia,2005,Land area (thousand hectares),"3,110,223",
142,Asia,2005,Arable land (thousand hectares),"500,997",
142,Asia,2005,Permanent crops (thousand hectares),"70,539",
142,Asia,2005,Forest cover (thousand hectares),"599,185",
142,Asia,2005,Arable land (% of total land area),16.1,
142,Asia,2005,Permanent crops (% of total land area),2.3,
142,Asia,2005,Forest cover (% of total land area),19.3,
142,Asia,2010,Land area (thousand hectares),"3,110,342",
142,Asia,2010,Arable land (thousand hectares),"494,680",
142,Asia,2010,Permanent crops (thousand hectares),"81,198",
142,Asia,2010,Forest cover (thousand hectares),"610,960",
142,Asia,2010,Arable land (% of total land area),15.9,
142,Asia,2010,Permanent crops (% of total land area),2.6,
142,Asia,2010,Forest cover (% of total land area),19.6,
142,Asia,2019,Land area (thousand hectares),"3,110,576",
142,Asia,2019,Arable land (thousand hectares),"498,574",
142,Asia,2019,Permanent crops (thousand hectares),"91,497",
142,Asia,2019,Forest cover (thousand hectares),"621,427",
142,Asia,2019,Arable land (% of total land area),16,
142,Asia,2019,Permanent crops (% of total land area),2.9,
142,Asia,2019,Forest cover (% of total land area),20,
143,Central Asia,2005,Land area (thousand hectares),"393,724",
143,Central Asia,2005,Arable land (thousand hectares),"37,010",
143,Central Asia,2005,Permanent crops (thousand hectares),714,
143,Central Asia,2005,Forest cover (thousand hectares),"12,017",
143,Central Asia,2005,Arable land (% of total land area),9.4,
143,Central Asia,2005,Permanent crops (% of total land area),0.2,
143,Central Asia,2005,Forest cover (% of total land area),3.1,
143,Central Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),19.74,
143,Central Asia,2010,Land area (thousand hectares),"393,728",
143,Central Asia,2010,Arable land (thousand hectares),"36,819",
143,Central Asia,2010,Permanent crops (thousand hectares),743,
143,Central Asia,2010,Forest cover (thousand hectares),"12,198",
143,Central Asia,2010,Arable land (% of total land area),9.4,
143,Central Asia,2010,Permanent crops (% of total land area),0.2,
143,Central Asia,2010,Forest cover (% of total land area),3.1,
143,Central Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),20.74,
143,Central Asia,2019,Land area (thousand hectares),"394,078",
143,Central Asia,2019,Arable land (thousand hectares),"37,818",
143,Central Asia,2019,Permanent crops (thousand hectares),825,
143,Central Asia,2019,Forest cover (thousand hectares),"12,936",
143,Central Asia,2019,Arable land (% of total land area),9.6,
143,Central Asia,2019,Permanent crops (% of total land area),0.2,
143,Central Asia,2019,Forest cover (% of total land area),3.3,
143,Central Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),22.43,
143,Central Asia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),22.43,
30,Eastern Asia,2005,Land area (thousand hectares),"1,156,090",
30,Eastern Asia,2005,Arable land (thousand hectares),"130,794",
30,Eastern Asia,2005,Permanent crops (thousand hectares),"13,296",
30,Eastern Asia,2005,Forest cover (thousand hectares),"240,730",
30,Eastern Asia,2005,Arable land (% of total land area),11.3,
30,Eastern Asia,2005,Permanent crops (% of total land area),1.2,
30,Eastern Asia,2005,Forest cover (% of total land area),20.8,
30,Eastern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),19.06,
30,Eastern Asia,2010,Land area (thousand hectares),"1,156,410",
30,Eastern Asia,2010,Arable land (thousand hectares),"130,795",
30,Eastern Asia,2010,Permanent crops (thousand hectares),"15,468",
30,Eastern Asia,2010,Forest cover (thousand hectares),"252,390",
30,Eastern Asia,2010,Arable land (% of total land area),11.3,
30,Eastern Asia,2010,Permanent crops (% of total land area),1.3,
30,Eastern Asia,2010,Forest cover (% of total land area),21.8,
30,Eastern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),21.57,
30,Eastern Asia,2019,Land area (thousand hectares),"1,156,447",
