Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value,Footnotes
1,"Total, all countries or areas",2005,Urban population (percent),,,49.2,
1,"Total, all countries or areas",2005,Urban population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2005,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2010,Urban population (percent),,,51.7,
1,"Total, all countries or areas",2010,Urban population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2010,Rural population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2015,Urban population (percent),,,53.9,
1,"Total, all countries or areas",2015,Urban population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2015,Rural population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2018,Urban population (percent),,,55.3,
2,Africa,2005,Urban population (percent),,,36.9,
2,Africa,2005,Urban population (percent growth rate per annum),,,3.5,Data refers to a 5-year period preceding the reference year.
2,Africa,2005,Rural population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.
2,Africa,2010,Urban population (percent),,,38.9,
2,Africa,2010,Urban population (percent growth rate per annum),,,3.6,Data refers to a 5-year period preceding the reference year.
2,Africa,2010,Rural population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.
2,Africa,2015,Urban population (percent),,,41.2,
2,Africa,2015,Urban population (percent growth rate per annum),,,3.7,Data refers to a 5-year period preceding the reference year.
2,Africa,2015,Rural population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.
2,Africa,2018,Urban population (percent),,,42.5,
15,Northern Africa,2005,Urban population (percent),,,49.3,
15,Northern Africa,2005,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2005,Rural population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2010,Urban population (percent),,,50.5,
15,Northern Africa,2010,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2010,Rural population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2015,Urban population (percent),,,51.4,
15,Northern Africa,2015,Urban population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2015,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2018,Urban population (percent),,,52,
202,Sub-Saharan Africa,2005,Urban population (percent),,,33.7,
202,Sub-Saharan Africa,2005,Urban population (percent growth rate per annum),,,4.1,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2005,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2010,Urban population (percent),,,36.1,
202,Sub-Saharan Africa,2010,Urban population (percent growth rate per annum),,,4.1,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2010,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2015,Urban population (percent),,,38.8,
202,Sub-Saharan Africa,2015,Urban population (percent growth rate per annum),,,4.1,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2015,Rural population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2018,Urban population (percent),,,40.4,
14,Eastern Africa,2005,Urban population (percent),,,22.5,
14,Eastern Africa,2005,Urban population (percent growth rate per annum),,,4.2,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2005,Rural population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2010,Urban population (percent),,,24.4,
14,Eastern Africa,2010,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2010,Rural population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2015,Urban population (percent),,,26.6,
14,Eastern Africa,2015,Urban population (percent growth rate per annum),,,4.6,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2015,Rural population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2018,Urban population (percent),,,28,
17,Middle Africa,2005,Urban population (percent),,,42.6,
17,Middle Africa,2005,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2005,Rural population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2010,Urban population (percent),,,45.2,
17,Middle Africa,2010,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2010,Rural population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2015,Urban population (percent),,,47.9,
17,Middle Africa,2015,Urban population (percent growth rate per annum),,,4.3,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2015,Rural population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2018,Urban population (percent),,,49.5,
18,Southern Africa,2005,Urban population (percent),,,56.5,
18,Southern Africa,2005,Urban population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2005,Rural population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2010,Urban population (percent),,,59.4,
18,Southern Africa,2010,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2010,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2015,Urban population (percent),,,62.1,
18,Southern Africa,2015,Urban population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2015,Rural population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2018,Urban population (percent),,,63.6,
11,Western Africa,2005,Urban population (percent),,,37.8,
11,Western Africa,2005,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.
11,Western Africa,2005,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
11,Western Africa,2010,Urban population (percent),,,41.1,
11,Western Africa,2010,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.
11,Western Africa,2010,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
11,Western Africa,2015,Urban population (percent),,,44.5,
11,Western Africa,2015,Urban population (percent growth rate per annum),,,4.3,Data refers to a 5-year period preceding the reference year.
11,Western Africa,2015,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
11,Western Africa,2018,Urban population (percent),,,46.4,
21,Northern America,2005,Urban population (percent),,,80,
21,Northern America,2005,Urban population (percent growth rate per annum),,,1.1,Data refers to a 5-year period preceding the reference year.
21,Northern America,2005,Rural population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.
21,Northern America,2010,Urban population (percent),,,80.8,
21,Northern America,2010,Urban population (percent growth rate per annum),,,1.1,Data refers to a 5-year period preceding the reference year.
21,Northern America,2010,Rural population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.
21,Northern America,2015,Urban population (percent),,,81.6,
21,Northern America,2015,Urban population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.
21,Northern America,2015,Rural population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.
21,Northern America,2018,Urban population (percent),,,82.2,
419,Latin America & the Caribbean,2005,Urban population (percent),,,77.1,
419,Latin America & the Caribbean,2005,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2005,Rural population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2010,Urban population (percent),,,78.6,
419,Latin America & the Caribbean,2010,Urban population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2010,Rural population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2015,Urban population (percent),,,79.9,
419,Latin America & the Caribbean,2015,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2015,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2018,Urban population (percent),,,80.7,
29,Caribbean,2005,Urban population (percent),,,65.4,
29,Caribbean,2005,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
29,Caribbean,2005,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.
29,Caribbean,2010,Urban population (percent),,,67.8,
29,Caribbean,2010,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
29,Caribbean,2010,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.
29,Caribbean,2015,Urban population (percent),,,70,
29,Caribbean,2015,Urban population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.
29,Caribbean,2015,Rural population (percent growth rate per annum),,,-0.7,Data refers to a 5-year period preceding the reference year.
29,Caribbean,2018,Urban population (percent),,,71.3,
13,Central America,2005,Urban population (percent),,,70.3,
13,Central America,2005,Urban population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.
13,Central America,2005,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
13,Central America,2010,Urban population (percent),,,72.1,
13,Central America,2010,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
13,Central America,2010,Rural population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
13,Central America,2015,Urban population (percent),,,73.7,
13,Central America,2015,Urban population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.
13,Central America,2015,Rural population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.
13,Central America,2018,Urban population (percent),,,74.7,
5,South America,2005,Urban population (percent),,,81.1,
5,South America,2005,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
5,South America,2005,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
5,South America,2010,Urban population (percent),,,82.4,
5,South America,2010,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
5,South America,2010,Rural population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.
5,South America,2015,Urban population (percent),,,83.5,
5,South America,2015,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.
5,South America,2015,Rural population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.
5,South America,2018,Urban population (percent),,,84.1,
142,Asia,2005,Urban population (percent),,,41.2,
142,Asia,2005,Urban population (percent growth rate per annum),,,3.1,Data refers to a 5-year period preceding the reference year.
142,Asia,2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
142,Asia,2010,Urban population (percent),,,44.8,
142,Asia,2010,Urban population (percent growth rate per annum),,,2.8,Data refers to a 5-year period preceding the reference year.
